Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,18
Stag,Seq.,Blck,Harvesting,Biomethane production,Steam ethanol 1G reform,Steam ethanol 2G reform,Steam methane reforming,Fast pyrolysis of biomass for bio oil,Slow pyrolysis of biomass for biochar,Alcohol to jet from 1G,Alcohol to jet from 2G,Fischer-Tropsch (Gaseification),Biomethanol synthesis,Electricity from residues,Electrolysis,BECCS (Bioethanol),E-methanol sythesis,FIscher-Tropsch (e-fuel),Sugar + E1G,E1G + Sugar
1,63,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,64,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,65,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,66,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,67,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,68,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,69,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,70,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,71,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,72,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,73,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,74,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,75,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,76,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,77,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,78,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,79,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,80,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,81,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,82,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,83,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,84,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,85,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,86,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,87,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,88,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,89,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,90,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,91,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,92,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,93,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,94,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,95,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,96,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,97,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,-0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,98,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,99,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,100,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,101,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,102,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,103,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,104,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,105,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,106,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,107,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,108,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,109,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,110,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,111,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,112,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,113,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,114,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,115,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,116,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,117,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,118,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,119,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,120,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,-0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,121,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,-0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,122,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
