Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Sold - Scenario 57,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 58,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 59,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 60,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 61,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 62,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 63,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 64,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 65,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 66,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 67,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 68,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 69,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 70,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 71,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
